Vendor_ID,Vendor_Name,Quality_Score,Delivery_Time_Days,Cost_Score,Payment_Terms,Region,Performance_Score
V001,Vendor 1,4.370861069626263,19.618917738474345,1.9281148195233935,Net 30,South,3.2733770255802477
V002,Vendor 2,9.556428757689245,3.440058984856416,9.1229761601161,Net 60,West,10.0
V003,Vendor 3,7.587945476302646,5.6872327087437995,5.547271352030714,Net 60,South,7.07511238631948
V004,Vendor 4,6.387926357773329,27.0580714672853,8.438117194969674,Net 30,East,3.6726365180339635
V005,Vendor 5,2.4041677639819286,18.58644273012811,3.880446409275506,Net 60,North,2.8737858267473104
V006,Vendor 6,2.403950683025824,1.2667144968822597,9.059709056465804,Net 30,North,5.614522133370176
V007,Vendor 7,1.5227525095137953,3.942674743114931,4.502815108607468,Net 60,North,1.5707851592253266
V008,Vendor 8,8.795585311974417,20.24155130413362,1.0975388633226852,Net 30,East,5.538850431720571
V009,Vendor 9,6.41003510568888,1.146785931540342,9.148437787773373,Net 30,East,7.689091987036402
V010,Vendor 10,7.372653200164409,5.663433491107461,1.821580091075202,Net 30,South,7.1805056339999185
V011,Vendor 11,1.185260448662222,16.913279891631,3.873822738313734,Net 60,South,4.525022877776103
V012,Vendor 12,9.72918866945795,21.064960733088103,9.550557703457244,Net 60,South,8.794774831659371
V013,Vendor 13,8.491983767203795,19.906876525575417,9.555464322438006,Net 60,West,6.897508404977126
V014,Vendor 14,2.9110519961044856,7.503809974356233,6.160940993109575,Net 30,North,3.8308072904968644
V015,Vendor 15,2.636424704863906,21.65319741907854,6.686534909528193,Net 60,North,6.063559395679597
V016,Vendor 16,2.650640588680904,7.880223537407202,5.036009697804878,Net 60,South,4.603718314175195
V017,Vendor 17,3.7381801866358395,10.436591246618764,3.638896945282581,Net 30,North,4.5671396496255054
V018,Vendor 18,5.72280788469014,22.6482507484227,3.957980908329244,Net 90,South,4.364049962058646
V019,Vendor 19,4.887505167779041,19.839354072369225,7.052666104693346,Net 30,West,5.068435158359122
V020,Vendor 20,3.6210622617823773,25.62747890433116,7.77137076493912,Net 60,West,3.6576969815219544
V021,Vendor 21,6.506676052501415,20.070773876709957,8.124211393532637,Net 30,East,5.297440910406003
V022,Vendor 22,2.2554447458683766,17.480949496728677,8.106563285150985,Net 90,West,3.4540811390511252
V023,Vendor 23,3.629301836816963,3.716568267014682,1.8208549274382133,Net 30,South,4.774411806978658
V024,Vendor 24,4.297256589643226,11.663758288723573,5.449782742323233,Net 60,West,4.528784243280137
V025,Vendor 25,5.104629857953324,8.690868662770038,1.5180288401497986,Net 90,East,4.273988048052453
V026,Vendor 26,8.066583652537123,8.075699657993423,5.94575994091362,Net 60,North,7.5213040763438395
V027,Vendor 27,2.7970640394252375,29.217306087820923,4.973774512360393,Net 90,South,2.21657909598175
V028,Vendor 28,5.628109945722504,12.399834015336051,8.989337644824698,Net 90,North,7.875932088875275
V029,Vendor 29,6.331731119758382,26.869350100136284,4.158235112968708,Net 30,East,1.6596077640662932
V030,Vendor 30,1.4180537144799796,19.303020153920624,2.053603147848453,Net 30,East,3.2809523233400797
V031,Vendor 31,6.467903667112945,24.049527802707804,2.2869251384755227,Net 60,East,5.532469273478426
V032,Vendor 32,2.5347171131856236,15.57647570005057,7.85359568545725,Net 30,North,2.207039891271055
V033,Vendor 33,1.5854643368675156,17.730212654164415,6.56396256984635,Net 30,North,2.989815822906238
V034,Vendor 34,9.539969835279999,15.283013120747054,1.9101040851051123,Net 90,North,6.252263556590525
V035,Vendor 35,9.690688297671034,6.66204664614329,1.756961255034977,Net 30,North,6.123020040510362
V036,Vendor 36,8.275576133048151,21.951111342583655,7.30872218313208,Net 90,East,5.6266046813012505
V037,Vendor 37,3.741523922560336,9.142398510784819,1.6548670572777417,Net 90,East,3.176919676191406
V038,Vendor 38,1.8790490260574548,1.7051630265121613,8.396740533613206,Net 90,South,7.200626760523775
V039,Vendor 39,7.158097238609412,19.718696581307867,7.3561800444084655,Net 60,South,7.014093363203074
V040,Vendor 40,4.961372443656412,6.136209702804419,1.7321390257770979,Net 60,North,6.485048151697342
V041,Vendor 41,2.0983441136030097,28.273298946234515,1.7635394267667273,Net 60,West,2.296222111574634
V042,Vendor 42,5.456592191001432,28.663928733075032,9.87975620651058,Net 90,West,3.7088026922781
V043,Vendor 43,1.3094966900369656,27.531067316393006,4.368437161805083,Net 60,East,1.2508087794604252
V044,Vendor 44,9.18388361870904,11.734602307407888,4.335779323602019,Net 60,East,7.775012004562052
V045,Vendor 45,3.3290198344001523,1.4482418793371554,8.315196105317522,Net 30,East,4.960597141437919
V046,Vendor 46,6.962700559185838,27.921238315044036,9.525237196454729,Net 60,South,6.30727231755185
V047,Vendor 47,3.8053996848046987,13.417340301202115,9.874009574405838,Net 60,South,5.29544232900517
V048,Vendor 48,5.680612190600297,29.032989752266417,7.780403667330475,Net 90,East,4.118267045990004
V049,Vendor 49,5.920392514089517,28.944979335588332,4.386336269778242,Net 90,East,4.653925545645066
V050,Vendor 50,2.6636900997297435,25.73727420855344,1.7515064502880189,Net 90,East,2.5526822305531716
V051,Vendor 51,9.726261649881026,9.539017870017984,7.994322243346931,Net 90,West,8.147127320789021
V052,Vendor 52,7.976195410250031,12.167834129455832,6.025638247622245,Net 90,South,8.13577174506813
V053,Vendor 53,9.455490474077703,25.68296347398885,4.817998083222786,Net 90,West,5.041985178684625
